textPayload,insertId,resource.type,resource.labels.task_name,resource.labels.job_id,resource.labels.project_id,timestamp,severity,logName,receiveTimestamp,jsonPayload.pathname,jsonPayload.created,jsonPayload.lineno,jsonPayload.message,jsonPayload.levelname,"labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/job_id/log_area""","labels.""compute.googleapis.com/resource_name""","labels.""ml.googleapis.com/trial_id""","labels.""compute.googleapis.com/resource_id"""
,8w3fohfrh3klp,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T21:10:40.488104104Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T21:10:44.221125247Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559337040.488104,48,test RMSE = 1.11,INFO,us-east1-c,tensorflow,cmle-training-13482615111196403466,342,7820553389940156719
,1k27i2qfmdc17s,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T21:03:36.507303953Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T21:03:40.183625253Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559336616.507304,48,test RMSE = 1.20,INFO,us-east1-c,tensorflow,cmle-training-14498595239939640325,341,59979589842905336
,zisytkfmbnpnd,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T20:49:33.489804029Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T20:49:37.097897318Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559335773.489804,48,test RMSE = 1.11,INFO,us-east1-c,tensorflow,cmle-training-10730508466629502199,339,7296517751481052192
,kn8gflxt0wv,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T20:28:14.978142023Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T20:28:17.475839139Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559334494.978142,48,test RMSE = 1.17,INFO,us-east1-c,tensorflow,cmle-training-12397859154001296209,336,572159263139181355
,z8onewfr8an1l,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T20:21:05.667458057Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T20:21:08.752821471Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559334065.667458,48,test RMSE = 1.10,INFO,us-east1-c,tensorflow,cmle-training-4444132374269076810,335,1003170333783241457
,3w8v8vfqtd4sp,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T20:14:06.860347032Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T20:14:10.173945760Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559333646.860347,48,test RMSE = 1.49,INFO,us-east1-c,tensorflow,cmle-training-8077886554343140262,334,8660455384501990546
,18ek4lqfoqwwks,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T20:07:07.680705070Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T20:07:10.622517390Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559333227.680705,48,test RMSE = 1.04,INFO,us-east1-c,tensorflow,cmle-training-5078219883949608643,333,7123033108883715638
,g3zjfoh3z3s,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T19:53:10.444128990Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T19:53:14.175270577Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559332390.444129,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-9887605606950380646,331,4280117324207111008
,f9rjkwf72q00u,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T19:46:14.690881013Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T19:46:17.405410403Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559331974.690881,48,test RMSE = 1.28,INFO,us-east1-c,tensorflow,cmle-training-528114384269776468,330,7620818448395549957
,lxo86efo1kt03,ml_job,master-replica-0,wals_ml_tune_20190530_044150,my-tf-2019,2019-05-31T19:30:56.120320081Z,INFO,projects/my-tf-2019/logs/master-replica-0,2019-05-31T19:30:59.644477614Z,/root/.local/lib/python2.7/site-packages/trainer/task.py,1559331056.12032,48,test RMSE = 1.03,INFO,us-east1-c,tensorflow,cmle-training-1405297322961305334,328,3841829638365789869
